"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","86.79% (135.79)","100% (75.87)","99.68% (103.61)","87.98% (54.69)","26.93% (4.77)","100% (39.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","89.11% (142.88)","100% (76.87)","99.76% (107.15)","90.95% (59.97)","33.56% (5.6)","100% (40.21)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","91.51% (149.15)","100% (78.57)","99.95% (110.3)","94.19% (63.99)","38.87% (6.27)","100% (40.18)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","92.03% (151.05)","100% (79.69)","99.94% (112.85)","95.17% (64.85)","38.39% (5.94)","100% (42.84)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","92.57% (153.71)","100% (80.32)","99.95% (113.35)","95.91% (66.17)","40.67% (6.65)","100% (44.07)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","93.6% (156.36)","100% (80.86)","100% (114.76)","97.18% (68.19)","44.63% (6.99)","100% (42.29)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","94.21% (158.88)","100% (81.4)","100% (116.71)","98.18% (69.98)","45.52% (6.99)","100% (42.26)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","94.63% (159.16)","100% (81.92)","100% (116.87)","97.88% (69.19)","50.25% (7.45)","100% (42.25)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","94.27% (158.73)","100% (82.07)","100% (116.22)","98.01% (68.96)","46.87% (7.22)","100% (42.33)","NA% (NA)","NA% (NA)","NA% (NA)"
